"cty","Name","College_Graduation_Rate_rP_gP_p50"
"cty38001","Adams County, ND",0.7215
"cty38025","Dunn County, ND",0.6883
"cty30025","Fallon County, MT",0.6555
"cty20071","Greeley County, KS",0.6381
"cty48433","Stonewall County, TX",0.606
"cty46021","Campbell County, SD",0.6002
"cty30015","Chouteau County, MT",0.5981
"cty20023","Cheyenne County, KS",0.5953
"cty16023","Butte County, ID",0.5909
"cty08061","Kiowa County, CO",0.585
"cty31071","Garfield County, NE",0.5731
"cty38011","Bowman County, ND",0.5663
"cty20199","Wallace County, KS",0.5549
"cty20153","Rawlins County, KS",0.5497
"cty31073","Gosper County, NE",0.5411
"cty40059","Harper County, OK",0.5259
"cty31135","Perkins County, NE",0.5253
"cty48421","Sherman County, TX",0.5232
"cty05129","Searcy County, AR",0.52
"cty20157","Republic County, KS",0.5182
"cty34003","Bergen County, NJ",0.5177
"cty08025","Crowley County, CO",0.5144
"cty36059","Nassau County, NY",0.5058
"cty72127","San Juan Municipio, PR",0.5044
"cty08009","Baca County, CO",0.5009
"cty46003","Aurora County, SD",0.5001
"cty06041","Marin County, CA",0.4975
"cty40057","Harmon County, OK",0.4974
"cty20179","Sheridan County, KS",0.4947
"cty31015","Boyd County, NE",0.4932
"cty34027","Morris County, NJ",0.4926
"cty20129","Morton County, KS",0.4918
"cty06075","San Francisco County, CA",0.4911
"cty46107","Potter County, SD",0.4902
"cty31149","Rock County, NE",0.4879
"cty38041","Hettinger County, ND",0.487
"cty31077","Greeley County, NE",0.4859
"cty31069","Garden County, NE",0.4847
"cty08027","Custer County, CO",0.4838
"cty46027","Clay County, SD",0.483
"cty08047","Gilpin County, CO",0.4822
"cty38061","Mountrail County, ND",0.4821
"cty20135","Ness County, KS",0.4816
"cty51059","Fairfax County, VA",0.4812
"cty48295","Lipscomb County, TX",0.481
"cty20089","Jewell County, KS",0.4807
"cty21201","Robertson County, KY",0.4779
"cty31063","Frontier County, NE",0.4767
"cty08117","Summit County, CO",0.4727
"cty38053","McKenzie County, ND",0.4718
"cty31179","Wayne County, NE",0.4717
"cty38009","Bottineau County, ND",0.47
"cty24031","Montgomery County, MD",0.4682
"cty38091","Steele County, ND",0.4677
"cty46069","Hyde County, SD",0.4669
"cty40093","Major County, OK",0.4666
"cty20039","Decatur County, KS",0.4652
"cty16085","Valley County, ID",0.4651
"cty20131","Nemaha County, KS",0.465
"cty46067","Hutchinson County, SD",0.4648
"cty51610","Falls Church city, VA",0.4646
"cty08091","Ouray County, CO",0.4645
"cty25021","Norfolk County, MA",0.4637
"cty46025","Clark County, SD",0.4632
"cty51600","Fairfax city, VA",0.4629
"cty36081","Queens County, NY",0.4578
"cty20105","Lincoln County, KS",0.4567
"cty36079","Putnam County, NY",0.4566
"cty26083","Keweenaw County, MI",0.4558
"cty34035","Somerset County, NJ",0.4552
"cty56039","Teton County, WY",0.4548
"cty08021","Conejos County, CO",0.4544
"cty36119","Westchester County, NY",0.4536
"cty21053","Clinton County, KY",0.4534
"cty31089","Holt County, NE",0.4529
"cty48169","Garza County, TX",0.4509
"cty40025","Cimarron County, OK",0.4485
"cty56027","Niobrara County, WY",0.4483
"cty46045","Edmunds County, SD",0.4474
"cty38029","Emmons County, ND",0.4457
"cty31169","Thayer County, NE",0.4455
"cty40149","Washita County, OK",0.445
"cty08063","Kit Carson County, CO",0.4449
"cty20083","Hodgeman County, KS",0.4442
"cty08051","Gunnison County, CO",0.4419
"cty20137","Norton County, KS",0.4418
"cty31183","Wheeler County, NE",0.4407
"cty48425","Somervell County, TX",0.4373
"cty01105","Perry County, AL",0.4371
"cty19147","Palo Alto County, IA",0.437
"cty48149","Fayette County, TX",0.4368
"cty08037","Eagle County, CO",0.4364
"cty30061","Mineral County, MT",0.4363
"cty38005","Benson County, ND",0.4356
"cty36087","Rockland County, NY",0.4354
"cty19191","Winneshiek County, IA",0.4351
"cty46059","Hand County, SD",0.4345
"cty31123","Morrill County, NE",0.433
"cty20025","Clark County, KS",0.4326
"cty20171","Scott County, KS",0.4319
"cty46091","Marshall County, SD",0.4316
"cty46129","Walworth County, SD",0.4314
"cty31147","Richardson County, NE",0.4312
"cty08121","Washington County, CO",0.431
"cty38039","Griggs County, ND",0.4309
"cty19161","Sac County, IA",0.4308
"cty20201","Washington County, KS",0.4306
"cty44001","Bristol County, RI",0.4281
"cty48153","Floyd County, TX",0.4264
"cty25017","Middlesex County, MA",0.4263
"cty20123","Mitchell County, KS",0.4255
"cty42091","Montgomery County, PA",0.4245
"cty36061","New York County, NY",0.4244
