"cty","Name","High_School_Graduation_Rate_rP_gP_p75"
"cty46007","Bennett County, SD",1
"cty40023","Choctaw County, OK",1
"cty40005","Atoka County, OK",1
"cty13209","Montgomery County, GA",1
"cty40025","Cimarron County, OK",1
"cty41021","Gilliam County, OR",1
"cty51159","Richmond County, VA",1
"cty48501","Yoakum County, TX",1
"cty08023","Costilla County, CO",1
"cty49017","Garfield County, UT",1
"cty46063","Harding County, SD",1
"cty17153","Pulaski County, IL",1
"cty48417","Shackelford County, TX",1
"cty21223","Trimble County, KY",1
"cty31061","Franklin County, NE",1
"cty48047","Brooks County, TX",1
"cty51021","Bland County, VA",1
"cty38033","Golden Valley County, ND",1
"cty17059","Gallatin County, IL",1
"cty22123","West Carroll Parish, LA",1
"cty48017","Bailey County, TX",1
"cty48319","Mason County, TX",1
"cty48383","Reagan County, TX",1
"cty17169","Schuyler County, IL",1
"cty48505","Zapata County, TX",1
"cty30045","Judith Basin County, MT",1
"cty31069","Garden County, NE",1
"cty48433","Stonewall County, TX",1
"cty31113","Logan County, NE",1
"cty49055","Wayne County, UT",1
"cty28143","Tunica County, MS",1
"cty48405","San Augustine County, TX",1
"cty47135","Perry County, TN",1
"cty12041","Gilchrist County, FL",1
"cty13315","Wilcox County, GA",1
"cty05073","Lafayette County, AR",1
"cty17069","Hardin County, IL",1
"cty54105","Wirt County, WV",1
"cty54085","Ritchie County, WV",1
"cty48283","La Salle County, TX",1
"cty13267","Tattnall County, GA",1
"cty47095","Lake County, TN",1
"cty31149","Rock County, NE",1
"cty31007","Banner County, NE",1
"cty46091","Marshall County, SD",1
"cty38043","Kidder County, ND",1
"cty35011","De Baca County, NM",1
"cty46119","Sully County, SD",1
"cty51113","Madison County, VA",1
"cty20083","Hodgeman County, KS",1
"cty08017","Cheyenne County, CO",1
"cty47027","Clay County, TN",1
"cty16033","Clark County, ID",1
"cty30075","Powder River County, MT",1
"cty06003","Alpine County, CA",1
"cty40055","Greer County, OK",1
"cty28009","Benton County, MS",1
"cty20071","Greeley County, KS",1
"cty19143","Osceola County, IA",0.9997
"cty48411","San Saba County, TX",0.9997
"cty48191","Hall County, TX",0.9992
"cty01011","Bullock County, AL",0.9989
"cty37173","Swain County, NC",0.9982
"cty48095","Concho County, TX",0.9974
"cty21181","Nicholas County, KY",0.997
"cty47137","Pickett County, TN",0.9961
"cty54071","Pendleton County, WV",0.9961
"cty02275","Wrangell City and Borough, AK",0.996
"cty38007","Billings County, ND",0.9956
"cty05011","Bradley County, AR",0.9956
