"cty","Name","Household_Income_rP_gP_p50"
"cty38033","Golden Valley County, ND",75594
"cty38007","Billings County, ND",75241
"cty38013","Burke County, ND",74365
"cty46021","Campbell County, SD",73169
"cty31171","Thomas County, NE",71190
"cty38037","Grant County, ND",71005
"cty38025","Dunn County, ND",70930
"cty38011","Bowman County, ND",70926
"cty38065","Oliver County, ND",69527
"cty38045","LaMoure County, ND",69104
"cty31085","Hayes County, NE",68559
"cty38043","Kidder County, ND",68459
"cty46059","Hand County, SD",68316
"cty31027","Cedar County, NE",68315
"cty38023","Divide County, ND",67799
"cty38001","Adams County, ND",67653
"cty38061","Mountrail County, ND",67426
"cty31115","Loup County, NE",67419
"cty38089","Stark County, ND",67209
"cty20131","Nemaha County, KS",67021
"cty38053","McKenzie County, ND",66575
"cty31149","Rock County, NE",66569
"cty31011","Boone County, NE",66490
"cty46063","Harding County, SD",66399
"cty48461","Upton County, TX",65886
"cty27081","Lincoln County, MN",65444
"cty38019","Cavalier County, ND",65394
"cty38009","Bottineau County, ND",65261
"cty38075","Renville County, ND",65257
"cty46043","Douglas County, SD",65010
"cty20083","Hodgeman County, KS",64984
"cty48311","McMullen County, TX",64859
"cty31039","Cuming County, NE",64852
"cty20063","Gove County, KS",64732
"cty38029","Emmons County, ND",64633
"cty38083","Sheridan County, ND",64619
"cty38031","Foster County, ND",64531
"cty38069","Pierce County, ND",64523
"cty20199","Wallace County, KS",64508
"cty31075","Grant County, NE",64473
"cty38091","Steele County, ND",64463
"cty46097","Miner County, SD",64152
"cty30107","Wheatland County, MT",64097
"cty38105","Williams County, ND",64075
"cty38051","McIntosh County, ND",63994
"cty56011","Crook County, WY",63837
"cty30019","Daniels County, MT",63720
"cty31003","Antelope County, NE",63701
"cty19109","Kossuth County, IA",63689
"cty19027","Carroll County, IA",63606
"cty19119","Lyon County, IA",63571
"cty46119","Sully County, SD",63504
"cty46055","Haakon County, SD",63423
"cty38057","Mercer County, ND",63378
"cty31077","Greeley County, NE",63377
"cty38049","McHenry County, ND",63340
"cty46045","Edmunds County, SD",63311
"cty46025","Clark County, SD",63222
"cty38041","Hettinger County, ND",63120
"cty48433","Stonewall County, TX",63106
"cty27011","Big Stone County, MN",63004
"cty31165","Sioux County, NE",63002
"cty19167","Sioux County, IA",62877
"cty27125","Red Lake County, MN",62804
"cty46087","McCook County, SD",62783
"cty46073","Jerauld County, SD",62576
"cty46049","Faulk County, SD",62488
"cty30075","Powder River County, MT",62393
"cty31163","Sherman County, NE",62209
"cty19009","Audubon County, IA",62190
"cty46061","Hanson County, SD",61966
"cty40129","Roger Mills County, OK",61946
"cty46003","Aurora County, SD",61894
"cty31169","Thayer County, NE",61849
"cty38021","Dickey County, ND",61839
"cty48095","Concho County, TX",61822
"cty19161","Sac County, IA",61775
"cty38055","McLean County, ND",61690
"cty31129","Nuckolls County, NE",61503
"cty38063","Nelson County, ND",61408
"cty46089","McPherson County, SD",61373
"cty38087","Slope County, ND",61156
"cty38073","Ransom County, ND",61134
"cty30083","Richland County, MT",61053
"cty46067","Hutchinson County, SD",61006
"cty27069","Kittson County, MN",60925
"cty48033","Borden County, TX",60873
"cty31059","Fillmore County, NE",60851
"cty46053","Gregory County, SD",60826
"cty31063","Frontier County, NE",60765
"cty46111","Sanborn County, SD",60749
"cty38081","Sargent County, ND",60735
"cty31089","Holt County, NE",60703
"cty46077","Kingsbury County, SD",60692
"cty31181","Webster County, NE",60618
"cty19037","Chickasaw County, IA",60516
"cty30055","McCone County, MT",60494
"cty19147","Palo Alto County, IA",60468
"cty31065","Furnas County, NE",60448
"cty30025","Fallon County, MT",60398
"cty31143","Polk County, NE",60309
"cty38103","Wells County, ND",60306
"cty38095","Towner County, ND",60260
"cty46069","Hyde County, SD",59904
"cty40053","Grant County, OK",59730
"cty19151","Pocahontas County, IA",59672
"cty31135","Perkins County, NE",59508
"cty49017","Garfield County, UT",59491
"cty38097","Traill County, ND",59453
"cty35021","Harding County, NM",59413
"cty19141","O'Brien County, IA",59400
"cty27149","Stevens County, MN",59348
"cty31107","Knox County, NE",59301
"cty27133","Rock County, MN",59233
"cty19055","Delaware County, IA",59167
"cty48285","Lavaca County, TX",59153
"cty20071","Greeley County, KS",59074
"cty48431","Sterling County, TX",59045
"cty31017","Brown County, NE",59035
"cty38027","Eddy County, ND",59028
"cty20195","Trego County, KS",59027
"cty31035","Clay County, NE",59026
"cty40003","Alfalfa County, OK",58984
"cty19131","Mitchell County, IA",58981
"cty30021","Dawson County, MT",58960
"cty27101","Murray County, MN",58954
"cty38059","Morton County, ND",58923
"cty20023","Cheyenne County, KS",58899
"cty27173","Yellow Medicine County, MN",58889
"cty27155","Traverse County, MN",58871
"cty48295","Lipscomb County, TX",58852
"cty20039","Decatur County, KS",58781
"cty27129","Renville County, MN",58764
"cty46125","Turner County, SD",58633
"cty27121","Pope County, MN",58597
"cty27089","Marshall County, MN",58579
"cty46057","Hamlin County, SD",58578
"cty48383","Reagan County, TX",58554
"cty20165","Rush County, KS",58531
"cty31103","Keya Paha County, NE",58481
"cty31041","Custer County, NE",58463
"cty49031","Piute County, UT",58410
"cty46105","Perkins County, SD",58339
"cty38077","Richland County, ND",58332
"cty46009","Bon Homme County, SD",58314
"cty20033","Comanche County, KS",58304
"cty31179","Wayne County, NE",58299
"cty41069","Wheeler County, OR",58299
"cty31009","Blaine County, NE",58268
"cty20135","Ness County, KS",58196
"cty31125","Nance County, NE",58194
"cty49009","Daggett County, UT",58191
"cty20203","Wichita County, KS",58174
"cty27117","Pipestone County, MN",58165
"cty19191","Winneshiek County, IA",58111
"cty27143","Sibley County, MN",58097
"cty19023","Butler County, IA",58052
"cty56017","Hot Springs County, WY",58031
"cty31139","Pierce County, NE",58009
"cty38039","Griggs County, ND",57957
"cty46031","Corson County, SD",57909
"cty31127","Nemaha County, NE",57900
"cty19091","Humboldt County, IA",57882
"cty48413","Schleicher County, TX",57877
"cty30109","Wibaux County, MT",57873
"cty31073","Gosper County, NE",57787
"cty38047","Logan County, ND",57771
"cty48483","Wheeler County, TX",57719
"cty31175","Valley County, NE",57663
"cty19035","Cherokee County, IA",57594
"cty48101","Cottle County, TX",57588
"cty31095","Jefferson County, NE",57567
"cty20179","Sheridan County, KS",57531
"cty19043","Clayton County, IA",57530
"cty48137","Edwards County, TX",57519
"cty38003","Barnes County, ND",57514
"cty46115","Spink County, SD",57500
"cty27045","Fillmore County, MN",57431
"cty27063","Jackson County, MN",57343
"cty31029","Chase County, NE",57310
"cty19149","Plymouth County, IA",57217
"cty19093","Ida County, IA",57180
"cty46079","Lake County, SD",57073
"cty31057","Dundy County, NE",57034
"cty48081","Coke County, TX",57006
"cty27015","Brown County, MN",57000
"cty30091","Sheridan County, MT",56942
"cty20201","Washington County, KS",56936
"cty46051","Grant County, SD",56913
"cty19075","Grundy County, IA",56889
"cty48357","Ochiltree County, TX",56836
"cty48003","Andrews County, TX",56796
"cty20025","Clark County, KS",56779
"cty19165","Shelby County, IA",56743
"cty27127","Redwood County, MN",56716
"cty46037","Day County, SD",56700
"cty19005","Allamakee County, IA",56698
"cty56019","Johnson County, WY",56689
"cty49033","Rich County, UT",56688
"cty19143","Osceola County, IA",56670
"cty31093","Howard County, NE",56658
"cty55091","Pepin County, WI",56657
"cty20153","Rawlins County, KS",56617
"cty31023","Butler County, NE",56613
"cty31087","Hitchcock County, NE",56588
"cty27073","Lac qui Parle County, MN",56537
"cty27151","Swift County, MN",56530
"cty46123","Tripp County, SD",56468
"cty48393","Roberts County, TX",56441
"cty27051","Grant County, MN",56433
"cty38067","Pembina County, ND",56334
"cty17013","Calhoun County, IL",56279
"cty46015","Brule County, SD",56260
"cty20119","Meade County, KS",56199
"cty19017","Bremer County, IA",56134
"cty38099","Walsh County, ND",56115
"cty40043","Dewey County, OK",56101
"cty19047","Crawford County, IA",56062
"cty48235","Irion County, TX",56050
"cty31097","Johnson County, NE",56034
"cty19089","Howard County, IA",56004
"cty27107","Norman County, MN",55970
"cty31081","Hamilton County, NE",55925
"cty31015","Boyd County, NE",55915
"cty49047","Uintah County, UT",55913
"cty30011","Carter County, MT",55908
"cty48105","Crockett County, TX",55895
"cty38015","Burleigh County, ND",55885
"cty31051","Dixon County, NE",55810
"cty27167","Wilkin County, MN",55804
"cty48195","Hansford County, TX",55776
"cty40045","Ellis County, OK",55774
"cty31121","Merrick County, NE",55687
"cty31061","Franklin County, NE",55680
"cty31159","Seward County, NE",55657
"cty20089","Jewell County, KS",55639
"cty20117","Marshall County, KS",55636
"cty31049","Deuel County, NE",55613
"cty27145","Stearns County, MN",55598
"cty19083","Hardin County, IA",55589
"cty31137","Phelps County, NE",55581
"cty16037","Custer County, ID",55539
"cty20183","Smith County, KS",55534
"cty31183","Wheeler County, NE",55507
"cty27041","Douglas County, MN",55474
"cty08125","Yuma County, CO",55466
"cty08111","San Juan County, CO",55464
"cty48447","Throckmorton County, TX",55448
"cty53043","Lincoln County, WA",55426
"cty38093","Stutsman County, ND",55399
"cty48495","Winkler County, TX",55390
"cty56031","Platte County, WY",55343
"cty56035","Sublette County, WY",55342
"cty49013","Duchesne County, UT",55338
"cty40093","Major County, OK",55324
"cty20193","Thomas County, KS",55315
"cty19081","Hancock County, IA",55309
"cty19189","Winnebago County, IA",55277
"cty27033","Cottonwood County, MN",55255
"cty48165","Gaines County, TX",55222
"cty39107","Mercer County, OH",55200
"cty46129","Walworth County, SD",55195
"cty48205","Hartley County, TX",55182
"cty31133","Pawnee County, NE",55169
"cty49029","Morgan County, UT",55101
"cty30071","Phillips County, MT",55088
"cty19025","Calhoun County, IA",55080
"cty48475","Ward County, TX",55066
"cty38101","Ward County, ND",55034
"cty27113","Pennington County, MN",55030
"cty19105","Jones County, IA",55013
"cty20141","Osborne County, KS",54983
"cty31105","Kimball County, NE",54955
"cty55065","Lafayette County, WI",54938
"cty27157","Wabasha County, MN",54934
"cty19159","Ringgold County, IA",54928
"cty19019","Buchanan County, IA",54925
"cty42113","Sullivan County, PA",54917
"cty31141","Platte County, NE",54908
"cty08103","Rio Blanco County, CO",54893
"cty48103","Crane County, TX",54844
"cty27093","Meeker County, MN",54834
"cty19065","Fayette County, IA",54825
