"cty","Name","Household_Income_rP_gP_pall"
"cty38033","Golden Valley County, ND",71954
"cty38007","Billings County, ND",70706
"cty38065","Oliver County, ND",70244
"cty38011","Bowman County, ND",70037
"cty38057","Mercer County, ND",69633
"cty46063","Harding County, SD",69224
"cty38025","Dunn County, ND",68842
"cty38013","Burke County, ND",68786
"cty38045","LaMoure County, ND",68326
"cty38089","Stark County, ND",68034
"cty38001","Adams County, ND",67766
"cty46021","Campbell County, SD",67723
"cty38037","Grant County, ND",67391
"cty20131","Nemaha County, KS",67080
"cty38061","Mountrail County, ND",66217
"cty31027","Cedar County, NE",66101
"cty38019","Cavalier County, ND",66052
"cty34027","Morris County, NJ",65975
"cty38031","Foster County, ND",65856
"cty38105","Williams County, ND",65700
"cty38053","McKenzie County, ND",65439
"cty19167","Sioux County, IA",65084
"cty38009","Bottineau County, ND",65076
"cty19027","Carroll County, IA",64918
"cty38075","Renville County, ND",64782
"cty38055","McLean County, ND",64567
"cty31039","Cuming County, NE",64498
"cty31011","Boone County, NE",64246
"cty38023","Divide County, ND",63999
"cty27149","Stevens County, MN",63874
"cty34019","Hunterdon County, NJ",63871
"cty38091","Steele County, ND",63801
"cty19109","Kossuth County, IA",63485
"cty38097","Traill County, ND",63454
"cty34003","Bergen County, NJ",63424
"cty20063","Gove County, KS",63420
"cty46059","Hand County, SD",63246
"cty36059","Nassau County, NY",63237
"cty56011","Crook County, WY",63189
"cty19119","Lyon County, IA",62860
"cty38043","Kidder County, ND",62837
"cty38077","Richland County, ND",62783
"cty38069","Pierce County, ND",62741
"cty38081","Sargent County, ND",62718
"cty36079","Putnam County, NY",62649
"cty55089","Ozaukee County, WI",62493
"cty27081","Lincoln County, MN",62453
"cty19037","Chickasaw County, IA",62330
"cty48461","Upton County, TX",62313
"cty46045","Edmunds County, SD",62300
"cty38073","Ransom County, ND",62280
"cty46087","McCook County, SD",62267
"cty46043","Douglas County, SD",62220
"cty25021","Norfolk County, MA",62165
"cty27019","Carver County, MN",62102
"cty20083","Hodgeman County, KS",62065
"cty31009","Blaine County, NE",62020
"cty31115","Loup County, NE",61997
"cty46097","Miner County, SD",61979
"cty19009","Audubon County, IA",61928
"cty51059","Fairfax County, VA",61707
"cty38103","Wells County, ND",61699
"cty20071","Greeley County, KS",61669
"cty19017","Bremer County, IA",61615
"cty30019","Daniels County, MT",61602
"cty38087","Slope County, ND",61567
"cty27125","Red Lake County, MN",61550
"cty46119","Sully County, SD",61456
"cty38041","Hettinger County, ND",61361
"cty38015","Burleigh County, ND",61343
"cty31085","Hayes County, NE",61333
"cty34035","Somerset County, NJ",61283
"cty38049","McHenry County, ND",61258
"cty27011","Big Stone County, MN",61256
"cty38059","Morton County, ND",61232
"cty19161","Sac County, IA",61226
"cty31003","Antelope County, NE",61105
"cty38021","Dickey County, ND",61069
"cty31059","Fillmore County, NE",61034
"cty20199","Wallace County, KS",60990
"cty49029","Morgan County, UT",60972
"cty38029","Emmons County, ND",60932
"cty46061","Hanson County, SD",60893
"cty18037","Dubois County, IN",60835
"cty31169","Thayer County, NE",60808
"cty24027","Howard County, MD",60740
"cty17043","DuPage County, IL",60625
"cty27163","Washington County, MN",60588
"cty56039","Teton County, WY",60577
"cty30109","Wibaux County, MT",60562
"cty55133","Waukesha County, WI",60539
"cty31075","Grant County, NE",60502
"cty31149","Rock County, NE",60348
"cty31143","Polk County, NE",60310
"cty31063","Frontier County, NE",60252
"cty30083","Richland County, MT",60247
"cty19141","O'Brien County, IA",60178
"cty27133","Rock County, MN",60160
"cty27129","Renville County, MN",60134
"cty19147","Palo Alto County, IA",60108
"cty46025","Clark County, SD",60076
"cty27069","Kittson County, MN",60029
"cty38051","McIntosh County, ND",59975
"cty19055","Delaware County, IA",59962
"cty19075","Grundy County, IA",59907
"cty27015","Brown County, MN",59882
"cty19149","Plymouth County, IA",59873
"cty27173","Yellow Medicine County, MN",59777
"cty31129","Nuckolls County, NE",59730
"cty19191","Winneshiek County, IA",59686
"cty38063","Nelson County, ND",59668
"cty38095","Towner County, ND",59665
"cty27143","Sibley County, MN",59662
"cty27037","Dakota County, MN",59641
"cty46067","Hutchinson County, SD",59622
"cty19131","Mitchell County, IA",59544
"cty55093","Pierce County, WI",59534
"cty19061","Dubuque County, IA",59529
"cty19151","Pocahontas County, IA",59495
"cty19091","Humboldt County, IA",59476
"cty19023","Butler County, IA",59446
"cty31179","Wayne County, NE",59427
"cty48205","Hartley County, TX",59392
"cty46077","Kingsbury County, SD",59379
"cty51107","Loudoun County, VA",59360
"cty51610","Falls Church city, VA",59299
"cty31177","Washington County, NE",59294
"cty31035","Clay County, NE",59263
"cty27145","Stearns County, MN",59262
"cty42091","Montgomery County, PA",59230
"cty46049","Faulk County, SD",59195
"cty31127","Nemaha County, NE",59132
"cty08103","Rio Blanco County, CO",59126
"cty31077","Greeley County, NE",59109
"cty25017","Middlesex County, MA",59100
"cty27167","Wilkin County, MN",59067
"cty27139","Scott County, MN",59061
"cty20203","Wichita County, KS",58999
"cty42029","Chester County, PA",58989
"cty56035","Sublette County, WY",58960
"cty31159","Seward County, NE",58928
"cty30021","Dawson County, MT",58902
"cty46055","Haakon County, SD",58878
"cty27155","Traverse County, MN",58835
"cty19169","Story County, IA",58786
"cty38083","Sheridan County, ND",58758
"cty27039","Dodge County, MN",58747
"cty34025","Monmouth County, NJ",58745
"cty31163","Sherman County, NE",58672
"cty49043","Summit County, UT",58657
"cty27121","Pope County, MN",58657
"cty55015","Calumet County, WI",58605
"cty31139","Pierce County, NE",58600
"cty27049","Goodhue County, MN",58589
"cty55131","Washington County, WI",58578
"cty56005","Campbell County, WY",58563
"cty27127","Redwood County, MN",58527
"cty27089","Marshall County, MN",58524
"cty46073","Jerauld County, SD",58502
"cty20091","Johnson County, KS",58492
"cty18057","Hamilton County, IN",58468
"cty30025","Fallon County, MT",58454
"cty36087","Rockland County, NY",58374
"cty38067","Pembina County, ND",58289
"cty17133","Monroe County, IL",58280
"cty20135","Ness County, KS",58256
"cty38027","Eddy County, ND",58252
"cty49017","Garfield County, UT",58250
"cty27101","Murray County, MN",58250
"cty39137","Putnam County, OH",58212
"cty34037","Sussex County, NJ",58180
"cty39107","Mercer County, OH",58164
"cty27085","McLeod County, MN",58157
"cty31135","Perkins County, NE",58137
"cty19035","Cherokee County, IA",58060
"cty20179","Sheridan County, KS",58052
"cty38047","Logan County, ND",58038
"cty08035","Douglas County, CO",58011
"cty40053","Grant County, OK",58003
"cty31137","Phelps County, NE",57962
"cty46125","Turner County, SD",57940
"cty31065","Furnas County, NE",57933
"cty46079","Lake County, SD",57927
"cty19165","Shelby County, IA",57922
"cty49033","Rich County, UT",57920
"cty55091","Pepin County, WI",57914
"cty46083","Lincoln County, SD",57880
"cty17013","Calhoun County, IL",57872
"cty27117","Pipestone County, MN",57848
"cty27083","Lyon County, MN",57845
"cty38101","Ward County, ND",57837
"cty38017","Cass County, ND",57814
"cty27041","Douglas County, MN",57812
"cty27073","Lac qui Parle County, MN",57807
"cty20195","Trego County, KS",57805
"cty31081","Hamilton County, NE",57790
"cty55109","St. Croix County, WI",57757
"cty38093","Stutsman County, ND",57741
"cty46051","Grant County, SD",57722
"cty31141","Platte County, NE",57716
"cty46011","Brookings County, SD",57705
"cty49047","Uintah County, UT",57700
"cty17027","Clinton County, IL",57659
"cty38003","Barnes County, ND",57659
"cty46089","McPherson County, SD",57615
"cty31171","Thomas County, NE",57607
"cty27079","Le Sueur County, MN",57606
"cty27045","Fillmore County, MN",57570
"cty17203","Woodford County, IL",57527
"cty24031","Montgomery County, MD",57519
"cty46003","Aurora County, SD",57457
"cty31023","Butler County, NE",57395
"cty27157","Wabasha County, MN",57393
"cty19095","Iowa County, IA",57382
"cty42017","Bucks County, PA",57376
"cty49031","Piute County, UT",57302
